OBJECTID,SMPL_PNT,SMPL_DATE,PRMT_CODE,PRMT_VL,PRMT_ORGN_SIGN
25111,DR01,2017/03/07 10:35:10+00,Nitrate + Nitrite as Nitrogen (MGL),0.05,<
25148,DR01,2017/04/04 09:32:55+00,Nitrate + Nitrite as Nitrogen (MGL),0.05,<
25181,DR01,2017/05/02 00:00:00+00,Nitrate + Nitrite as Nitrogen (MGL),0.05,<
25200,DR01,2017/06/06 08:40:55+00,Nitrate + Nitrite as Nitrogen (MGL),0.05,<
25205,DR01,2017/07/04 10:13:51+00,Nitrate + Nitrite as Nitrogen (MGL),0.05,<
25538,DR01,2017/08/01 10:58:02+00,Suspended Solids 105 C (MGL),5,<
25725,DR05,2017/04/04 09:51:42+00,Escherichia coli (CFU),100000,>
25731,DR01,2017/04/04 09:33:19+00,Escherichia coli (CFU),1000000,>
25761,DR05,2017/05/02 00:00:00+00,Escherichia coli (CFU),10000,>
25866,DR01,2018/06/28 00:00:00+00,Unionised Ammonia (MGL),0,=
25931,DR01,2018/09/18 00:00:00+00,Unionised Ammonia (MGL),0,=
26015,DR01,2018/08/28 09:47:54+00,Unionised Ammonia (MGL),0.001,=
26071,DR01,2018/03/06 10:20:15+00,Unionised Ammonia (MGL),0.002,=
26105,DR01,2018/07/26 00:00:00+00,Unionised Ammonia (MGL),0.002,=
26180,DR01,2018/10/02 09:48:46+00,Unionised Ammonia (MGL),0.003,=
26209,DR01,2018/05/08 00:00:00+00,Unionised Ammonia (MGL),0.005,=
26211,DR01,2018/01/09 00:00:00+00,Unionised Ammonia (MGL),0.004,=
26231,DR01,2018/11/08 00:00:00+00,Unionised Ammonia (MGL),0.004,=
26255,DR01,2018/02/06 10:22:59+00,Unionised Ammonia (MGL),0.007,=
26542,DR01,2018/12/06 00:00:00+00,Unionised Ammonia (MGL),0.017,=
26752,DR01,2018/09/18 00:00:00+00,Ortho-Phosphate (MGL),0.029,=
26890,DR01,2018/06/28 00:00:00+00,Ortho-Phosphate (MGL),0.041,=
26982,DR01,2018/12/06 00:00:00+00,Nitrate + Nitrite as Nitrogen (MGL),0.052,=
27100,DR01,2018/07/26 00:00:00+00,Ortho-Phosphate (MGL),0.062,=
27147,DR01,2018/08/28 09:47:54+00,Ortho-Phosphate (MGL),0.069,=
27437,DR01,2018/03/06 10:20:15+00,Ortho-Phosphate (MGL),0.101,=
27453,DR01,2018/10/02 09:48:46+00,Ortho-Phosphate (MGL),0.103,=
27533,DR01,2018/02/06 10:22:59+00,Ortho-Phosphate (MGL),0.111,=
27604,DR01,2018/05/08 00:00:00+00,Nitrate + Nitrite as Nitrogen (MGL),0.119,=
27643,DR01,2018/01/09 00:00:00+00,Ortho-Phosphate (MGL),0.122,=
27694,DR01,2018/06/28 00:00:00+00,ammonia (MGL),0.124,=
27823,DR01,2018/11/08 00:00:00+00,Ortho-Phosphate (MGL),0.142,=
27877,DR01,2018/09/18 00:00:00+00,ammonia (MGL),0.151,=
27912,DR01,2018/05/08 00:00:00+00,Ortho-Phosphate (MGL),0.154,=
27952,DR01,2018/06/28 00:00:00+00,Nitrate + Nitrite as Nitrogen (MGL),0.166,=
28030,DR01,2018/11/08 00:00:00+00,Nitrate + Nitrite as Nitrogen (MGL),0.174,=
28173,DR01,2018/09/18 00:00:00+00,Nitrate + Nitrite as Nitrogen (MGL),0.196,=
28515,DR01,2018/07/26 00:00:00+00,Nitrate + Nitrite as Nitrogen (MGL),0.275,=
28647,DR01,2018/08/28 09:47:54+00,Nitrate + Nitrite as Nitrogen (MGL),0.313,=
28780,DR01,2018/12/06 00:00:00+00,Ortho-Phosphate (MGL),0.378,=
28937,DR01,2018/08/28 09:47:54+00,ammonia (MGL),0.409,=
28949,DR01,2018/03/06 10:20:15+00,ammonia (MGL),0.417,=
29083,DR01,2018/10/02 09:48:46+00,Nitrate + Nitrite as Nitrogen (MGL),0.476,=
29526,DR01,2018/10/02 09:48:46+00,ammonia (MGL),0.676,=
29558,DR01,2018/07/26 00:00:00+00,ammonia (MGL),0.684,=
29804,DR01,2018/05/08 00:00:00+00,Dissolved Oxygen (MGL),0.8,=
30000,DR01,2018/01/09 00:00:00+00,Dissolved Oxygen (MGL),0.9,=
30367,DR01,2018/02/06 10:22:59+00,ammonia (MGL),1.091,=
30480,DR01,2018/11/08 00:00:00+00,ammonia (MGL),1.15,=
30756,DR01,2018/01/09 00:00:00+00,ammonia (MGL),1.36,=
31344,DR01,2018/05/08 00:00:00+00,ammonia (MGL),1.974,=
31357,DR01,2018/03/06 10:20:15+00,Dissolved Oxygen (MGL),2,=
31511,DR01,2018/02/06 10:22:59+00,Dissolved Oxygen (MGL),2.01,=
31926,DR01,2018/11/08 00:00:00+00,Dissolved Oxygen (MGL),2.5,=
31999,DR01,2018/12/06 00:00:00+00,Dissolved Oxygen (MGL),2.6,=
32585,DR01,2018/12/06 00:00:00+00,ammonia (MGL),3.36,=
33590,DR01,2018/07/26 00:00:00+00,Dissolved Oxygen (MGL),5.5,=
33751,DR01,2018/01/09 00:00:00+00,Suspended Solids 105 C (MGL),6,=
34005,DR01,2018/10/02 09:48:46+00,Dissolved Oxygen (MGL),6.47,=
34042,DR01,2018/06/28 00:00:00+00,pH (PH_NONE),6.6,=
34135,DR01,2018/08/28 09:47:54+00,pH (PH_NONE),6.8,=
34172,DR01,2018/01/09 00:00:00+00,pH (PH_NONE),6.9,=
34225,DR01,2018/03/06 10:20:15+00,pH (PH_NONE),7,=
34277,DR01,2018/05/08 00:00:00+00,Suspended Solids 105 C (MGL),7,=
34339,DR01,2018/09/18 00:00:00+00,pH (PH_NONE),7,=
34363,DR01,2018/11/08 00:00:00+00,pH (PH_NONE),7,=
34396,DR01,2018/02/06 10:22:59+00,pH (PH_NONE),7.1,=
34451,DR01,2018/10/02 09:48:46+00,pH (PH_NONE),7.1,=
34462,DR01,2018/07/26 00:00:00+00,pH (PH_NONE),7.1,=
34475,DR01,2018/12/06 00:00:00+00,pH (PH_NONE),7.1,=
35995,DR01,2018/05/08 00:00:00+00,Oxygen Saturation (PC),8,=
36416,DR01,2018/09/18 00:00:00+00,Dissolved Oxygen (MGL),8.7,=
36506,DR01,2018/08/28 09:47:54+00,Dissolved Oxygen (MGL),8.97,=
36565,DR01,2018/06/28 00:00:00+00,Dissolved Oxygen (MGL),9,=
36917,DR01,2018/01/09 00:00:00+00,Oxygen Saturation (PC),10,=
37463,DR01,2018/06/28 00:00:00+00,Temperature (CELSIUS),11.4,=
37819,DR01,2018/08/28 09:47:54+00,Temperature (CELSIUS),13,=
37949,DR01,2018/09/18 00:00:00+00,Temperature (CELSIUS),13.6,=
38004,DR01,2018/07/26 00:00:00+00,Temperature (CELSIUS),13.9,=
38254,DR01,2018/10/02 09:48:46+00,Temperature (CELSIUS),14.8,=
38313,DR01,2018/03/06 10:20:15+00,Suspended Solids 105 C (MGL),15,=
38602,DR01,2018/05/08 00:00:00+00,Temperature (CELSIUS),15.9,=
38719,DR01,2018/11/08 00:00:00+00,Temperature (CELSIUS),16.2,=
39026,DR01,2018/08/28 09:47:54+00,Conductivity (MSM),18,=
39027,DR01,2018/08/28 09:47:54+00,Suspended Solids 105 C (MGL),18,=
39167,DR01,2018/01/09 00:00:00+00,Temperature (CELSIUS),18.6,=
39219,DR01,2018/12/06 00:00:00+00,Temperature (CELSIUS),18.9,=
39511,DR01,2018/06/28 00:00:00+00,Conductivity (MSM),20,=
39526,DR01,2018/09/18 00:00:00+00,Conductivity (MSM),20,=
39641,DR05,2018/07/26 00:00:00+00,Escherichia coli (CFU),20,=
39763,DR01,2018/03/06 10:20:15+00,Temperature (CELSIUS),20.7,=
39879,DR01,2018/02/06 10:22:59+00,Temperature (CELSIUS),21.2,=
40017,DR01,2018/03/06 10:20:15+00,Oxygen Saturation (PC),22,=
40026,DR01,2018/10/02 09:48:46+00,Suspended Solids 105 C (MGL),22,=
40149,DR01,2018/02/06 10:22:59+00,Oxygen Saturation (PC),23,=
40478,DR01,2018/11/08 00:00:00+00,Oxygen Saturation (PC),25,=
40763,DR01,2018/12/06 00:00:00+00,Oxygen Saturation (PC),28,=
41421,DR01,2018/10/02 09:48:46+00,Conductivity (MSM),35,=
41470,DR01,2018/06/28 00:00:00+00,Escherichia coli (CFU),35,=
41523,DR01,2018/01/09 00:00:00+00,Conductivity (MSM),36,=
42067,DR01,2018/05/08 00:00:00+00,Conductivity (MSM),42,=
42121,DR01,2018/12/06 00:00:00+00,Conductivity (MSM),43,=
42182,DR01,2018/07/26 00:00:00+00,Conductivity (MSM),44,=
42258,DR01,2018/11/08 00:00:00+00,Conductivity (MSM),45,=
42334,DR01,2018/03/06 10:20:15+00,Conductivity (MSM),47,=
42719,DR01,2018/07/26 00:00:00+00,Oxygen Saturation (PC),53,=
43066,DR01,2018/02/06 10:22:59+00,Conductivity (MSM),60,=
43451,DR01,2018/10/02 09:48:46+00,Oxygen Saturation (PC),64,=
44257,DR05,2018/08/28 10:02:54+00,Escherichia coli (CFU),78,=
44596,DR01,2018/06/28 00:00:00+00,Oxygen Saturation (PC),82,=
44653,DR01,2018/09/18 00:00:00+00,Oxygen Saturation (PC),83,=
44715,DR01,2018/08/28 09:47:54+00,Oxygen Saturation (PC),85,=
44777,DR01,2018/09/18 00:00:00+00,Suspended Solids 105 C (MGL),86,=
45118,DR01,2018/07/26 00:00:00+00,Suspended Solids 105 C (MGL),92,=
47098,DR05,2018/06/28 00:00:00+00,Escherichia coli (CFU),180,=
47590,DR05,2018/03/06 10:07:03+00,Escherichia coli (CFU),286,=
48028,DR01,2018/03/06 10:21:54+00,Escherichia coli (CFU),600,=
48260,DR01,2018/02/06 10:22:49+00,Escherichia coli (CFU),1400,=
48393,DR01,2018/11/08 09:10:00+00,Escherichia coli (CFU),2700,=
48578,DR05,2018/01/19 00:00:00+00,Escherichia coli (CFU),16000,=
48588,DR05,2018/05/08 00:00:00+00,Escherichia coli (CFU),13400,=
48598,DR01,2018/08/28 09:47:44+00,Escherichia coli (CFU),20000,=
48630,DR01,2018/09/18 00:00:00+00,Escherichia coli (CFU),27000,=
48664,DR05,2018/11/08 09:25:00+00,Escherichia coli (CFU),40000,=
48691,DR05,2018/02/06 10:34:24+00,Escherichia coli (CFU),69000,=
48708,DR01,2018/05/08 00:00:00+00,Escherichia coli (CFU),82000,=
48768,DR01,2018/01/09 00:00:00+00,Escherichia coli (CFU),250000,=
48840,DR01,2018/12/06 00:00:00+00,Escherichia coli (CFU),680000,=
49055,DR01,2018/01/09 00:00:00+00,Nitrate + Nitrite as Nitrogen (MGL),0.05,<
49069,DR01,2018/02/06 10:22:59+00,Nitrate + Nitrite as Nitrogen (MGL),0.05,<
49121,DR01,2018/03/06 10:20:15+00,Nitrate + Nitrite as Nitrogen (MGL),0.05,<
49456,DR01,2018/02/06 10:22:59+00,Suspended Solids 105 C (MGL),5,<
49529,DR01,2018/06/28 00:00:00+00,Suspended Solids 105 C (MGL),5,<
49669,DR01,2018/11/08 00:00:00+00,Suspended Solids 105 C (MGL),5,<
49687,DR01,2018/12/06 00:00:00+00,Suspended Solids 105 C (MGL),5,<
49732,DR01,2018/10/02 09:50:00+00,Escherichia coli (CFU),100000,>
49748,DR05,2018/09/18 00:00:00+00,Escherichia coli (CFU),10000,>
49751,DR05,2018/10/02 09:56:00+00,Escherichia coli (CFU),10000,>
49759,DR05,2018/12/06 00:00:00+00,Escherichia coli (CFU),100000,>
49932,DR01,2019/06/04 00:00:00+00,Unionised Ammonia (MGL),0.002,=
49948,DR01,2019/11/05 00:00:00+00,Unionised Ammonia (MGL),0.002,=
49957,DR01,2019/02/07 10:38:50+00,Unionised Ammonia (MGL),0.004,=
50112,DR01,2019/03/05 00:00:00+00,Unionised Ammonia (MGL),0.009,=
50285,DR01,2019/09/03 09:59:09+00,Ortho-Phosphate (MGL),0.019,=
50473,DR01,2019/12/02 00:00:00+00,ammonia (MGL),0.0279,=
50580,DR01,2019/04/02 00:00:00+00,Unionised Ammonia (MGL),0.033,=
50593,DR01,2019/05/07 00:00:00+00,Unionised Ammonia (MGL),0.036,=
50689,DR01,2019/08/06 09:46:48+00,Ortho-Phosphate (MGL),0.044,=
50733,DR01,2019/06/04 00:00:00+00,Ortho-Phosphate (MGL),0.047,=
50788,DR01,2019/07/02 00:00:00+00,ammonia (MGL),0.0501,=
50808,DR01,2019/11/05 00:00:00+00,Nitrate + Nitrite as Nitrogen (MGL),0.053,=
50842,DR01,2019/08/06 09:46:48+00,ammonia (MGL),0.0582,=
50849,DR01,2019/10/01 00:00:00+00,Ortho-Phosphate (MGL),0.059,=
50850,DR01,2019/11/05 00:00:00+00,Ortho-Phosphate (MGL),0.059,=
50957,DR01,2019/07/02 00:00:00+00,Ortho-Phosphate (MGL),0.07,=
51031,DR01,2019/12/02 00:00:00+00,Ortho-Phosphate (MGL),0.077,=
51065,DR01,2019/01/10 00:00:00+00,Ortho-Phosphate (MGL),0.081,=
51415,DR01,2019/02/07 10:38:50+00,Ortho-Phosphate (MGL),0.122,=
51432,DR01,2019/06/04 00:00:00+00,Nitrate + Nitrite as Nitrogen (MGL),0.123,=
51505,DR01,2019/09/03 09:59:09+00,ammonia (MGL),0.136,=
51518,DR01,2019/03/05 00:00:00+00,Ortho-Phosphate (MGL),0.134,=
51596,DR01,2019/09/03 09:59:09+00,Nitrate + Nitrite as Nitrogen (MGL),0.148,=
51769,DR01,2019/10/01 00:00:00+00,ammonia (MGL),0.177,=
51786,DR01,2019/04/02 00:00:00+00,Nitrate + Nitrite as Nitrogen (MGL),0.172,=
51948,DR01,2019/08/06 09:46:48+00,Nitrate + Nitrite as Nitrogen (MGL),0.209,=
52063,DR01,2019/01/10 00:00:00+00,Nitrate + Nitrite as Nitrogen (MGL),0.234,=
52163,DR01,2019/07/02 00:00:00+00,Nitrate + Nitrite as Nitrogen (MGL),0.273,=
52377,DR01,2019/04/02 00:00:00+00,Ortho-Phosphate (MGL),0.346,=
52544,DR01,2019/05/07 00:00:00+00,Ortho-Phosphate (MGL),0.4,=
52636,DR01,2019/02/07 10:38:50+00,ammonia (MGL),0.441,=
52660,DR01,2019/11/05 00:00:00+00,ammonia (MGL),0.452,=
53117,DR01,2019/01/10 00:00:00+00,ammonia (MGL),0.647,=
53315,DR01,2019/06/04 00:00:00+00,ammonia (MGL),0.776,=
53378,DR01,2019/04/02 00:00:00+00,Dissolved Oxygen (MGL),0.8,=
54221,DR01,2019/06/04 00:00:00+00,Dissolved Oxygen (MGL),1.4,=
54564,DR01,2019/03/05 00:00:00+00,ammonia (MGL),1.77,=
54844,DR01,2019/05/07 00:00:00+00,Dissolved Oxygen (MGL),2,=
55039,DR01,2019/02/07 10:38:50+00,Dissolved Oxygen (MGL),2.14,=
55284,DR01,2019/03/05 00:00:00+00,Dissolved Oxygen (MGL),2.5,=
55537,DR01,2019/01/10 00:00:00+00,Dissolved Oxygen (MGL),2.9,=
56627,DR01,2019/04/02 00:00:00+00,ammonia (MGL),4.78,=
56639,DR01,2019/12/02 00:00:00+00,Dissolved Oxygen (MGL),4.8,=
56948,DR01,2019/10/01 00:00:00+00,Dissolved Oxygen (MGL),5.5,=
57139,DR01,2019/09/03 09:59:09+00,Suspended Solids 105 C (MGL),6,=
57357,DR01,2019/08/06 09:46:48+00,pH (PH_NONE),6.7,=
57454,DR01,2019/07/02 00:00:00+00,pH (PH_NONE),6.9,=
57459,DR01,2019/10/01 00:00:00+00,pH (PH_NONE),6.9,=
57510,DR01,2019/03/05 00:00:00+00,pH (PH_NONE),7,=
57539,DR01,2019/09/03 09:59:09+00,pH (PH_NONE),7,=
57547,DR01,2019/06/04 00:00:00+00,pH (PH_NONE),7,=
57602,DR01,2019/11/05 00:00:00+00,Dissolved Oxygen (MGL),7,=
57639,DR01,2019/05/07 00:00:00+00,ammonia (MGL),7.08,=
57697,DR01,2019/11/05 00:00:00+00,pH (PH_NONE),7.1,=
57702,DR01,2019/12/02 00:00:00+00,pH (PH_NONE),7.1,=
57739,DR01,2019/02/07 10:38:50+00,pH (PH_NONE),7.2,=
57757,DR01,2019/01/10 00:00:00+00,pH (PH_NONE),7.2,=
57778,DR01,2019/05/07 00:00:00+00,pH (PH_NONE),7.2,=
57880,DR01,2019/04/02 00:00:00+00,pH (PH_NONE),7.3,=
