"sample_date","sample_time","analysis_completed","sample_id","site_id","sample_temp_c","enterococci_cfu_per_100ml","filename","lab_code"
"2025-06-02","10:00:00","2025-06-04","XCN12A","XCN12","2.6","8","Infinity Environmental AD.152(FB).pdf","WLAB"
"2025-05-06",NULL,NULL,"CN11","CN11",NULL,"21","coastal ad hocs 2025-05-06","SSVC"
"2025-05-05",NULL,NULL,"XCN12","XCN12",NULL,"47","coastal ad hocs 2025-05-05","SSVC"
"2025-05-05",NULL,NULL,"XCN12","XCN12",NULL,"42","coastal ad hocs 2025-05-05","SSVC"
"2025-05-05",NULL,NULL,"XCN12","XCN12",NULL,"35","coastal ad hocs 2025-05-05","SSVC"
"2025-06-03",NULL,NULL,"CN11","CN11",NULL,"313","Camps bay adhocs 2025-06-03","SSVC"
"2025-06-03",NULL,NULL,"CN11","CN11",NULL,"189","Camps bay adhocs 2025-06-03","SSVC"
"2025-06-03",NULL,NULL,"CN11","CN11",NULL,"291","Camps bay adhocs 2025-06-03","SSVC"
"2025-05-13",NULL,NULL,"XCN03","XCN03",NULL,"23","Coastal adhocs 2025-05-13","SSVC"
"2025-05-13",NULL,NULL,"XCN03","XCN03",NULL,"34","Coastal adhocs 2025-05-13","SSVC"
"2025-06-10",NULL,NULL,"FB001","XCN03",NULL,"15","Coastal adhocs 2025-06-10","SSVC"
"2025-06-02",NULL,NULL,"FB001","XCN12",NULL,"<1","coastal ad hocs 2025-06-02","SSVC"
"2025-06-02",NULL,NULL,"LB001","XCN12",NULL,"<1","coastal ad hocs 2025-06-02","SSVC"
"2025-04-01",NULL,"2025-04-03","LB001","CN11","7.1","ND","Infinity Environmental AD.92(CN).pdf","WLAB"
"2025-04-01","10:41:00","2025-04-03","FB001","CN11","7.1","ND","Infinity Environmental AD.92(CN).pdf","WLAB"
"2025-04-03","09:15:00","2025-04-05","FB001","CS34","5.6","ND","Infinity Environmental AD.94(CS).pdf","WLAB"
"2025-04-07",NULL,"2025-04-09","FB001","XCN04","8.2","ND","Infinity Environmental AD.98(CN).pdf","WLAB"
"2025-05-05",NULL,"2025-05-07","LB001","XCN12","3.1","ND","Infinity Environmental AD.117(LB).pdf","WLAB"
"2025-05-05","10:48:00","2025-05-07","FB001","XCN12","3.1","ND","Infinity Environmental AD.117(LB).pdf","WLAB"
"2025-05-06",NULL,"2025-05-08","FB001","CN11","7.1","ND","Infinity Environmental AD.119(FB).pdf","WLAB"
"2025-05-13",NULL,"2025-05-15","FB001","XCN03","4.0","ND","Infinity Environmental AD.126(FB).pdf","WLAB"
"2025-06-02",NULL,"2025-06-04","LB001","XCN12","2.6","ND","Infinity Environmental AD.152(FB).pdf","WLAB"
