"site_order","site_description","site_id","category","coastline","long","lat","active","site_id-2","sample_date","sample_time","analysis_completed","sample_temp_c","censored_value","numeric_value","filename","lab_code","monitoring_group"
"22","Glen Beach","CN31","Recreational Node","Atlantic","18.377192","-33.947056","True","CN31","2025-06-24","08:13:00","2025-06-26","2.8","20","20","Infinity Environmental AD.171.pdf","WLAB","daily"
"24","Camps Bay Central","CN41","Recreational Node","Atlantic","18.37711225","-33.95092422","True","CN41","2025-06-24","08:05:00","2025-06-26","2.8","23","23","Infinity Environmental AD.171.pdf","WLAB","daily"
"25","Camps Bay South","CN11","Recreational Node","Atlantic","18.37566417","-33.95262556","True","CN11","2025-06-24","08:00:00","2025-06-26","2.8","31","31","Infinity Environmental AD.171.pdf","WLAB","daily"
"67","Strand Pipe Surfing","XCS34","Recreational Node","False Bay","18.81328622","-34.10333837","True","XCS34","2025-06-23","09:19:00","2025-06-25","4","410","410","Oelofse G.110.pdf","WLAB","daily"
"68","Strand Lifesaving Club","XCS26","Recreational Node","False Bay","18.81753333","-34.10616667","True","XCS26","2025-06-23","09:08:00","2025-06-25","4","258","258","Oelofse G.110.pdf","WLAB","daily"
"22","Glen Beach","CN31","Recreational Node","Atlantic","18.377192","-33.947056","True","CN31","2025-06-23","08:27:00","2025-06-25","4.1","9","9","Infinity Environmental AD.170.pdf","WLAB","daily"
"24","Camps Bay Central","CN41","Recreational Node","Atlantic","18.37711225","-33.95092422","True","CN41","2025-06-23","08:13:00","2025-06-25","4.1","14","14","Infinity Environmental AD.170.pdf","WLAB","daily"
"25","Camps Bay South","CN11","Recreational Node","Atlantic","18.37566417","-33.95262556","True","CN11","2025-06-23","08:07:00","2025-06-25","4.1","10","10","Infinity Environmental AD.170.pdf","WLAB","daily"
"67","Strand Pipe Surfing","XCS34","Recreational Node","False Bay","18.81328622","-34.10333837","True","XCS34","2025-06-20","09:20:00","2025-06-22","3","288","288","Oelofse G.109.pdf","WLAB","daily"
"22","Glen Beach","CN31","Recreational Node","Atlantic","18.377192","-33.947056","True","CN31","2025-06-20","08:17:00","2025-06-22","3","32","32","Infinity Environmental AD.169.pdf","WLAB","daily"
"24","Camps Bay Central","CN41","Recreational Node","Atlantic","18.37711225","-33.95092422","True","CN41","2025-06-20","08:05:00","2025-06-22","3","34","34","Infinity Environmental AD.169.pdf","WLAB","daily"
"68","Strand Lifesaving Club","XCS26","Recreational Node","False Bay","18.81753333","-34.10616667","True","XCS26","2025-06-20","08:04:00","2025-06-22","3","230","230","Oelofse G.109.pdf","WLAB","daily"
"25","Camps Bay South","CN11","Recreational Node","Atlantic","18.37566417","-33.95262556","True","CN11","2025-06-20","08:00:00","2025-06-22","3","21","21","Infinity Environmental AD.169.pdf","WLAB","daily"
"67","Strand Pipe Surfing","XCS34","Recreational Node","False Bay","18.81328622","-34.10333837","True","XCS34","2025-06-19","09:12:00","2025-06-21","3.1","97","97","Oelofse G.108.pdf","WLAB","daily"
"68","Strand Lifesaving Club","XCS26","Recreational Node","False Bay","18.81753333","-34.10616667","True","XCS26","2025-06-19","08:57:00","2025-06-21","3.1","101","101","Oelofse G.108.pdf","WLAB","daily"
"22","Glen Beach","CN31","Recreational Node","Atlantic","18.377192","-33.947056","True","CN31","2025-06-19","08:45:00","2025-06-21","4.2","7","7","Infinity Environmental AD.167.pdf","WLAB","daily"
"24","Camps Bay Central","CN41","Recreational Node","Atlantic","18.37711225","-33.95092422","True","CN41","2025-06-19","08:35:00","2025-06-21","4.2","5","5","Infinity Environmental AD.167.pdf","WLAB","daily"
"25","Camps Bay South","CN11","Recreational Node","Atlantic","18.37566417","-33.95262556","True","CN11","2025-06-19","08:30:00","2025-06-21","4.2","2","2","Infinity Environmental AD.167.pdf","WLAB","daily"
"22","Glen Beach","CN31","Recreational Node","Atlantic","18.377192","-33.947056","True","CN31","2025-06-18","09:08:00","2025-06-20","3.1","33","33","Infinity Environmental AD.166.pdf","WLAB","daily"
"67","Strand Pipe Surfing","XCS34","Recreational Node","False Bay","18.81328622","-34.10333837","True","XCS34","2025-06-18","09:07:00","2025-06-20","4.1","127","127","Oelofse G.107.pdf","WLAB","daily"
"68","Strand Lifesaving Club","XCS26","Recreational Node","False Bay","18.81753333","-34.10616667","True","XCS26","2025-06-18","08:53:00","2025-06-20","4.1","109","109","Oelofse G.107.pdf","WLAB","daily"
"24","Camps Bay Central","CN41","Recreational Node","Atlantic","18.37711225","-33.95092422","True","CN41","2025-06-18","08:50:00","2025-06-20","3.1","26","26","Infinity Environmental AD.166.pdf","WLAB","daily"
"25","Camps Bay South","CN11","Recreational Node","Atlantic","18.37566417","-33.95262556","True","CN11","2025-06-18","08:45:00","2025-06-20","3.1","20","20","Infinity Environmental AD.166.pdf","WLAB","daily"
"22","Glen Beach","CN31","Recreational Node","Atlantic","18.377192","-33.947056","True","CN31","2025-06-17","09:10:00","2025-06-19","5.1","28","28","Infinity Environmental AD.165.pdf","WLAB","daily"
"68","Strand Lifesaving Club","XCS26","Recreational Node","False Bay","18.81753333","-34.10616667","True","XCS26","2025-06-17","08:56:00","2025-06-19","3","70","70","Oelofse G.106.pdf","WLAB","daily"
"24","Camps Bay Central","CN41","Recreational Node","Atlantic","18.37711225","-33.95092422","True","CN41","2025-06-17","08:55:00","2025-06-19","5.1","18","18","Infinity Environmental AD.165.pdf","WLAB","daily"
"25","Camps Bay South","CN11","Recreational Node","Atlantic","18.37566417","-33.95262556","True","CN11","2025-06-17","08:50:00","2025-06-19","5.1","11","11","Infinity Environmental AD.165.pdf","WLAB","daily"
"67","Strand Pipe Surfing","XCS34","Recreational Node","False Bay","18.81328622","-34.10333837","True","XCS34","2025-06-17","08:42:00","2025-06-19","3","100","100","Oelofse G.106.pdf","WLAB","daily"
"68","Strand Lifesaving Club","XCS26","Recreational Node","False Bay","18.81753333","-34.10616667","True","XCS26","2025-06-13","08:53:00","2025-06-15","2.9","93","93","Oelofse G.105.pdf","WLAB","daily"
"67","Strand Pipe Surfing","XCS34","Recreational Node","False Bay","18.81328622","-34.10333837","True","XCS34","2025-06-13","08:46:00","2025-06-15","2.9","72","72","Oelofse G.105.pdf","WLAB","daily"
