enterococci_cfu_per_100ml,site_id,sample_time,sample_date,analysis_completed,sample_temp_c,filename
ND,CN31,10:40:00,2025-03-26,2025-03-28,7.7,2025-03-26_WALAB_Atlantic.pdf
4,ICS12,11:50:00,2025-03-27,2025-03-29,8.4,2025-03-27_WALAB_Atlantic.pdf
ND,ICS10,11:55:00,2025-03-27,2025-03-29,8.4,2025-03-27_WALAB_Atlantic.pdf
2,CN31,12:30:00,2025-03-27,2025-03-29,8.4,2025-03-27_WALAB_Atlantic.pdf
3,ICS12,10:45:00,2025-03-28,2025-03-30,4.4,2025-03-28_WALAB_Atlantic.pdf
1,ICS10,10:50:00,2025-03-28,2025-03-30,4.4,2025-03-28_WALAB_Atlantic.pdf
1,CN31,11:05:00,2025-03-28,2025-03-30,4.4,2025-03-28_WALAB_Atlantic.pdf
11,ICS12,11:04:00,2025-03-31,2025-04-02,8.3,2025-03-31_WALAB_Atlantic.pdf
6,ICS10,11:01:00,2025-03-31,2025-04-02,8.3,2025-03-31_WALAB_Atlantic.pdf
29,CN31,11:19:00,2025-03-31,2025-04-02,8.3,2025-03-31_WALAB_Atlantic.pdf
39,ICS12,10:13:00,2025-02-20,2025-02-23,2.8,2025-02-20_WALAB_Atlantic.pdf
5,ICS10,10:19:00,2025-02-20,2025-02-23,2.8,2025-02-20_WALAB_Atlantic.pdf
3,CN31,10:50:00,2025-02-20,2025-02-23,2.8,2025-02-20_WALAB_Atlantic.pdf
1,ICS12,11:15:00,2025-01-15,2025-01-17,2.8,2025-01-15_WALAB_Atlantic.pdf
4,ICS10,11:18:00,2025-01-15,2025-01-17,2.8,2025-01-15_WALAB_Atlantic.pdf
42,CN31,10:45:00,2025-01-15,2025-01-17,2.8,2025-01-15_WALAB_Atlantic.pdf
