site_name,sample_date,censored_value
Llandudno,2021-12-14T00:00:00Z,1
Llandudno,2021-12-22T00:00:00Z,2
Llandudno,2022-01-04T00:00:00Z,2
Llandudno,2022-01-12T00:00:00Z,1
Llandudno,2022-01-20T00:00:00Z,4
Llandudno,2022-01-26T00:00:00Z,1
Melkbos,2018-11-28T00:00:00Z,1
Melkbos,2018-12-05T00:00:00Z,1
Melkbos,2018-12-19T00:00:00Z,4
Melkbos,2019-01-03T00:00:00Z,1
Melkbos,2019-01-15T00:00:00Z,2
Melkbos,2019-01-22T00:00:00Z,1
Melkbos,2019-11-20T00:00:00Z,1
Melkbos,2019-12-04T00:00:00Z,1
Melkbos,2019-12-11T00:00:00Z,1
Melkbos,2020-01-08T00:00:00Z,1
Melkbos,2020-01-15T00:00:00Z,3
Melkbos,2020-01-22T00:00:00Z,1
Melkbos,2020-02-05T00:00:00Z,5
Melkbos,2020-02-19T00:00:00Z,1
Melkbos,2020-03-03T00:00:00Z,1
Melkbos,2020-03-18T00:00:00Z,2
Melkbos,2020-11-25T00:00:00Z,2
Melkbos,2020-12-02T00:00:00Z,2
Melkbos,2020-12-08T00:00:00Z,5
Melkbos,2020-12-15T00:00:00Z,1
Melkbos,2021-01-06T00:00:00Z,120
Melkbos,2021-01-13T00:00:00Z,1
Melkbos,2021-01-20T00:00:00Z,1
Melkbos,2021-01-27T00:00:00Z,1
Melkbos,2021-11-25T00:00:00Z,3
Melkbos,2021-12-01T00:00:00Z,4
Melkbos,2011-12-08T00:00:00Z,1
Melkbos,2021-12-14T00:00:00Z,1
Melkbos,2021-12-22T00:00:00Z,1
Melkbos,2022-01-04T00:00:00Z,2
Melkbos,2022-01-11T00:00:00Z,11
Melkbos,2022-01-20T00:00:00Z,6
Melkbos,2022-01-27T00:00:00Z,18
Mnandi,2018-11-28T00:00:00Z,1
Mnandi,2018-12-06T00:00:00Z,22
Mnandi,2018-12-19T00:00:00Z,2
Mnandi,2019-01-04T00:00:00Z,1
Mnandi,2019-01-16T00:00:00Z,7
Mnandi,2019-01-22T00:00:00Z,11
Mnandi,2019-11-21T00:00:00Z,1
Mnandi,2019-12-05T00:00:00Z,1
Mnandi,2019-12-12T00:00:00Z,1
Mnandi,2020-01-09T00:00:00Z,1
