enterococci_cfu_per_100ml,site_id,sample_time,sample_date,analysis_completed,sample_temp_c,filename
9,CS30,NA,2024-10-14,2024-10-16,6,2024-10-14 Strand WALAB.pdf
9,CS31,NA,2024-11-08,2024-11-10,4.6,2024-11-08 Strand WALAB.pdf
9,CS30,NA,2024-12-18,2024-12-20,7.8,2024-12-18 Strand WALAB.pdf.pdf
9,CS30,07:16,2025-01-13,2025-01-15,6,2025-01-13 Strand WALAB.pdf.pdf
90,CS30,NA,2024-10-11,2024-10-13,9,2024-10-11 Strand WALAB.pdf
91,CS30,08:25,2025-02-06,2025-02-08,4.4,2025-02-06 Strand WALAB.pdf
ND,CS30,NA,2024-10-31,2024-11-02,9.3,2024-10-31 Strand WALAB.pdf
ND,CS31,NA,2024-10-31,2024-11-02,9.3,2024-10-31 Strand WALAB.pdf
ND,CS30,08:26,2025-02-20,2025-02-22,4.4,2025-02-20 Strand WALAB.pdf
ND,CS30,12:45,2025-02-20,2025-02-22,4.4,2025-02-20 Strand WALAB.pdf
ND,CS31,12:30,2025-02-20,2025-02-22,4.4,2025-02-20 Strand WALAB.pdf
ND,CS30,07:55,2025-02-21,2025-02-23,7.2,2025-02-21 Strand WALAB.pdf
ND,CS30,12:48,2025-02-21,2025-02-23,7.2,2025-02-21 Strand WALAB.pdf
ND,CS31,12:35,2025-02-21,2025-02-23,7.2,2025-02-21 Strand WALAB.pdf
