date_time,site_id,n,replicate,date,time,label
2026-06-24T19:00:00Z,XCS26,1,A,24 June,19:00:00,19:00:00A
2026-06-24T19:00:00Z,XCS34,1,A,24 June,19:00:00,19:00:00A
2026-06-24T20:00:00Z,XCS26,1,A,24 June,20:00:00,20:00:00A
2026-06-24T20:00:00Z,XCS34,1,A,24 June,20:00:00,20:00:00A
2026-06-24T21:00:00Z,XCS26,1,A,24 June,21:00:00,21:00:00A
2026-06-24T21:00:00Z,XCS34,1,A,24 June,21:00:00,21:00:00A
2026-06-24T22:00:00Z,XCS26,4,A,24 June,22:00:00,22:00:00A
2026-06-24T22:00:00Z,XCS26,4,B,24 June,22:00:00,22:00:00B
2026-06-24T22:00:00Z,XCS26,4,C,24 June,22:00:00,22:00:00C
2026-06-24T22:00:00Z,XCS26,4,D,24 June,22:00:00,22:00:00D
2026-06-24T22:00:00Z,XCS34,1,A,24 June,22:00:00,22:00:00A
2026-06-24T23:00:00Z,XCS26,1,A,24 June,23:00:00,23:00:00A
2026-06-24T23:00:00Z,XCS34,4,A,24 June,23:00:00,23:00:00A
2026-06-24T23:00:00Z,XCS34,4,B,24 June,23:00:00,23:00:00B
2026-06-24T23:00:00Z,XCS34,4,C,24 June,23:00:00,23:00:00C
2026-06-24T23:00:00Z,XCS34,4,D,24 June,23:00:00,23:00:00D
2026-06-25T00:00:00Z,XCS26,1,A,25 June,00:00:00,00:00:00A
2026-06-25T00:00:00Z,XCS34,1,A,25 June,00:00:00,00:00:00A
2026-06-25T01:00:00Z,XCS26,1,A,25 June,01:00:00,01:00:00A
2026-06-25T01:00:00Z,XCS34,1,A,25 June,01:00:00,01:00:00A
2026-06-25T02:00:00Z,XCS26,1,A,25 June,02:00:00,02:00:00A
2026-06-25T02:00:00Z,XCS34,1,A,25 June,02:00:00,02:00:00A
2026-06-25T03:00:00Z,XCS26,1,A,25 June,03:00:00,03:00:00A
2026-06-25T03:00:00Z,XCS34,1,A,25 June,03:00:00,03:00:00A
2026-06-25T04:00:00Z,XCS26,3,A,25 June,04:00:00,04:00:00A
2026-06-25T04:00:00Z,XCS26,3,B,25 June,04:00:00,04:00:00B
2026-06-25T04:00:00Z,XCS26,3,C,25 June,04:00:00,04:00:00C
2026-06-25T04:00:00Z,XCS34,1,A,25 June,04:00:00,04:00:00A
2026-06-25T05:00:00Z,XCS26,1,A,25 June,05:00:00,05:00:00A
2026-06-25T05:00:00Z,XCS34,3,A,25 June,05:00:00,05:00:00A
2026-06-25T05:00:00Z,XCS34,3,B,25 June,05:00:00,05:00:00B
